Unnamed: 0,cell_id,x1,y1,x2,y2,if_plate_id,position,sample,atlas_name,antibody,ensembl_ids,gene_names,locations,Gene,is_multi_localized,Reliability (IF),s3_folder_prefix
130,1.0,158.0,138.0,866.0,886.0,1,E6,1,U2OS,HPA003198,ENSG00000166226,CCT2,Cytosol,CCT2,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1/
131,2.0,176.0,186.0,848.0,838.0,1,E6,1,U2OS,HPA003198,ENSG00000166226,CCT2,Cytosol,CCT2,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1/
132,1.0,168.0,236.0,856.0,788.0,1,E6,2,U2OS,HPA003198,ENSG00000166226,CCT2,Cytosol,CCT2,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1/
133,2.0,248.0,274.0,776.0,750.0,1,E6,2,U2OS,HPA003198,ENSG00000166226,CCT2,Cytosol,CCT2,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1/
134,3.0,236.0,235.0,788.0,789.0,1,E6,2,U2OS,HPA003198,ENSG00000166226,CCT2,Cytosol,CCT2,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1/
135,4.0,289.0,152.0,735.0,872.0,1,E6,2,U2OS,HPA003198,ENSG00000166226,CCT2,Cytosol,CCT2,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1/
136,5.0,301.0,182.0,723.0,842.0,1,E6,2,U2OS,HPA003198,ENSG00000166226,CCT2,Cytosol,CCT2,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1/
137,6.0,309.0,317.0,715.0,707.0,1,E6,2,U2OS,HPA003198,ENSG00000166226,CCT2,Cytosol,CCT2,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1/
138,7.0,255.0,202.0,769.0,822.0,1,E6,2,U2OS,HPA003198,ENSG00000166226,CCT2,Cytosol,CCT2,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1/
917,1.0,193.0,106.0,831.0,918.0,10,G7,1,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
918,2.0,177.0,210.0,847.0,814.0,10,G7,1,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
919,3.0,138.0,119.0,886.0,905.0,10,G7,1,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
920,4.0,240.0,189.0,784.0,835.0,10,G7,1,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
921,5.0,89.0,246.0,935.0,778.0,10,G7,1,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
922,6.0,273.0,334.0,751.0,690.0,10,G7,1,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
923,7.0,153.0,261.0,871.0,763.0,10,G7,1,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
924,1.0,256.0,180.0,768.0,844.0,10,G7,2,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
925,2.0,205.0,288.0,819.0,736.0,10,G7,2,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
926,3.0,87.0,41.0,937.0,983.0,10,G7,2,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
927,4.0,225.0,148.0,799.0,876.0,10,G7,2,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
928,5.0,117.0,368.0,907.0,656.0,10,G7,2,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
929,6.0,246.0,-77.0,778.0,1101.0,10,G7,2,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
930,7.0,195.0,242.0,829.0,782.0,10,G7,2,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
931,8.0,247.0,152.0,777.0,872.0,10,G7,2,U2OS,HPA005566,ENSG00000145020,AMT,,AMT,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/10/
1622,1.0,271.0,269.0,753.0,755.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1623,2.0,275.0,319.0,749.0,705.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1624,3.0,214.0,301.0,810.0,723.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1625,4.0,323.0,189.0,701.0,835.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1626,5.0,265.0,282.0,759.0,742.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1627,6.0,261.0,269.0,763.0,755.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1628,7.0,136.0,346.0,888.0,678.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1629,8.0,227.0,171.0,797.0,853.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1630,9.0,229.0,201.0,795.0,823.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1631,10.0,133.0,200.0,891.0,824.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1632,11.0,268.0,81.0,756.0,943.0,100,F5,1,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1633,1.0,309.0,352.0,715.0,672.0,100,F5,2,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1634,2.0,381.0,388.0,643.0,636.0,100,F5,2,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1635,3.0,372.0,377.0,652.0,647.0,100,F5,2,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
1636,4.0,206.0,392.0,818.0,632.0,100,F5,2,A-431,HPA008741,ENSG00000173744,AGFG1,Vesicles,AGFG1,0,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/100/
4438,1.0,183.0,175.0,841.0,849.0,1005,D10,1,A-431,HPA059540,ENSG00000198700,IPO9,"Cytosol,Vesicles",IPO9,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1005/
4439,2.0,115.0,-27.0,909.0,1051.0,1005,D10,1,A-431,HPA059540,ENSG00000198700,IPO9,"Cytosol,Vesicles",IPO9,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1005/
4440,3.0,177.0,265.0,847.0,759.0,1005,D10,1,A-431,HPA059540,ENSG00000198700,IPO9,"Cytosol,Vesicles",IPO9,1,Supported,s3://czi-subcell-public/hpa-processed/cell_crops/1005/
