cell_id,x1,y1,x2,y2,if_plate_id,position,sample,atlas_name,antibody,ensembl_ids,gene_names,locations,Gene,is_multi_localized,Reliability (IF),s3_path
8.0,275.0,234.0,749.0,790.0,951,A3,2,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/2/8_cell_image.png
4.0,286.0,351.0,738.0,673.0,951,A3,2,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/2/4_cell_image.png
1.0,303.0,41.0,721.0,983.0,943,A3,1,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/1/1_cell_image.png
2.0,85.0,26.0,939.0,998.0,951,A3,1,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/1/2_cell_image.png
6.0,304.0,92.0,720.0,932.0,943,A3,1,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/1/6_cell_image.png
6.0,298.0,296.0,726.0,728.0,948,A3,1,A-431,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/948/A3/1/6_cell_image.png
1.0,247.0,187.0,777.0,837.0,943,A3,2,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/2/1_cell_image.png
13.0,300.0,177.0,724.0,847.0,943,A3,1,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/1/13_cell_image.png
10.0,-16.0,277.0,1040.0,747.0,943,A3,2,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/2/10_cell_image.png
7.0,287.0,218.0,737.0,806.0,951,A3,2,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/2/7_cell_image.png
2.0,284.0,286.0,740.0,738.0,951,A3,2,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/2/2_cell_image.png
10.0,205.0,271.0,819.0,753.0,943,A3,1,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/1/10_cell_image.png
4.0,268.0,178.0,756.0,846.0,948,A3,2,A-431,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/948/A3/2/4_cell_image.png
14.0,226.0,-69.0,798.0,1093.0,943,A3,1,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/1/14_cell_image.png
4.0,116.0,208.0,908.0,816.0,948,A3,1,A-431,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/948/A3/1/4_cell_image.png
8.0,370.0,278.0,654.0,746.0,951,A3,1,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/1/8_cell_image.png
4.0,14.0,316.0,1010.0,708.0,943,A3,1,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/1/4_cell_image.png
2.0,160.0,94.0,864.0,930.0,943,A3,2,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/2/2_cell_image.png
7.0,377.0,202.0,647.0,822.0,951,A3,1,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/1/7_cell_image.png
9.0,182.0,257.0,842.0,767.0,943,A3,1,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/1/9_cell_image.png
7.0,247.0,230.0,777.0,794.0,943,A3,1,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/1/7_cell_image.png
3.0,176.0,276.0,848.0,748.0,948,A3,1,A-431,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/948/A3/1/3_cell_image.png
5.0,238.0,261.0,786.0,763.0,943,A3,1,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/1/5_cell_image.png
5.0,320.0,72.0,704.0,952.0,951,A3,1,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/1/5_cell_image.png
4.0,112.0,320.0,912.0,704.0,943,A3,2,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/2/4_cell_image.png
12.0,318.0,284.0,706.0,740.0,951,A3,1,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/1/12_cell_image.png
5.0,-27.0,216.0,1051.0,808.0,948,A3,2,A-431,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/948/A3/2/5_cell_image.png
1.0,309.0,292.0,715.0,732.0,951,A3,2,U-251MG,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/951/A3/2/1_cell_image.png
1.0,211.0,196.0,813.0,828.0,948,A3,1,A-431,CAB000326,ENSG00000137203,TFAP2A,Nucleoplasm,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/948/A3/1/1_cell_image.png
15.0,371.0,287.0,653.0,737.0,943,A3,2,U2OS,CAB000326,ENSG00000137203,TFAP2A,,TFAP2A,0,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/943/A3/2/15_cell_image.png
3.0,375.0,346.0,649.0,678.0,205,B6,2,U2OS,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/205/B6/2/3_cell_image.png
8.0,434.0,289.0,590.0,735.0,205,B6,1,U2OS,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/205/B6/1/8_cell_image.png
6.0,338.0,364.0,686.0,660.0,205,B6,2,U2OS,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/205/B6/2/6_cell_image.png
3.0,370.0,376.0,654.0,648.0,203,B6,2,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/2/3_cell_image.png
7.0,180.0,96.0,844.0,928.0,204,B6,1,A-431,CAB002433,ENSG00000072571,HMMR,Cytosol,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/204/B6/1/7_cell_image.png
6.0,60.0,232.0,964.0,792.0,204,B6,2,A-431,CAB002433,ENSG00000072571,HMMR,Cytosol,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/204/B6/2/6_cell_image.png
8.0,334.0,294.0,690.0,730.0,203,B6,2,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/2/8_cell_image.png
7.0,145.0,272.0,879.0,752.0,204,B6,2,A-431,CAB002433,ENSG00000072571,HMMR,Cytosol,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/204/B6/2/7_cell_image.png
4.0,316.0,214.0,708.0,810.0,203,B6,1,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/1/4_cell_image.png
5.0,284.0,86.0,740.0,938.0,204,B6,2,A-431,CAB002433,ENSG00000072571,HMMR,Cytosol,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/204/B6/2/5_cell_image.png
4.0,129.0,197.0,895.0,827.0,203,B6,2,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/2/4_cell_image.png
9.0,253.0,373.0,771.0,651.0,203,B6,1,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/1/9_cell_image.png
9.0,205.0,340.0,819.0,684.0,205,B6,2,U2OS,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/205/B6/2/9_cell_image.png
7.0,258.0,263.0,766.0,761.0,203,B6,1,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/1/7_cell_image.png
7.0,103.0,236.0,921.0,788.0,205,B6,2,U2OS,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/205/B6/2/7_cell_image.png
5.0,326.0,368.0,698.0,656.0,203,B6,1,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/1/5_cell_image.png
4.0,262.0,313.0,762.0,711.0,205,B6,1,U2OS,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/205/B6/1/4_cell_image.png
1.0,290.0,254.0,734.0,770.0,205,B6,1,U2OS,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/205/B6/1/1_cell_image.png
2.0,169.0,212.0,855.0,812.0,204,B6,1,A-431,CAB002433,ENSG00000072571,HMMR,Cytosol,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/204/B6/1/2_cell_image.png
8.0,133.0,91.0,891.0,933.0,205,B6,2,U2OS,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/205/B6/2/8_cell_image.png
6.0,-79.0,169.0,1103.0,855.0,203,B6,2,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/2/6_cell_image.png
10.0,382.0,386.0,642.0,638.0,203,B6,1,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/1/10_cell_image.png
7.0,384.0,382.0,640.0,642.0,203,B6,2,U-251MG,CAB002433,ENSG00000072571,HMMR,Microtubules,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/203/B6/2/7_cell_image.png
1.0,243.0,13.0,781.0,1011.0,204,B6,2,A-431,CAB002433,ENSG00000072571,HMMR,Cytosol,HMMR,1,Enhanced,s3://czi-subcell-public/hpa-processed/cell_crops/204/B6/2/1_cell_image.png
